station,year,precip_annual_sum,t_med_annual_mean,t_max_annual_mean,t_min_annual_mean,spei3_annual_mean,n_months,pct_dry,pct_wet,pct_normal
Baltata,1961,384.8,9.52,14.81,4.39,-0.59,10,50.0,0.0,50.0
Baltata,1962,439.1,10.22,15.42,5.1,-0.26,12,33.3,16.7,50.0
Baltata,1963,627.0,10.44,15.56,4.93,-0.07,12,33.3,8.3,58.3
Baltata,1964,592.9,10.18,15.38,5.01,0.21,12,8.3,16.7,75.0
Baltata,1965,764.0,9.92,15.22,4.52,0.53,12,0.0,16.7,83.3
Baltata,1966,636.7,9.64,14.93,4.45,0.19,12,16.7,25.0,58.3
Baltata,1967,518.6,9.74,14.92,4.25,-0.01,12,8.3,16.7,75.0
Baltata,1968,452.1,9.38,14.53,4.23,-0.22,12,33.3,25.0,41.7
Baltata,1969,359.6,9.05,14.43,3.86,-0.39,12,33.3,8.3,58.3
Baltata,1970,537.0,9.64,14.71,4.3,-0.05,12,16.7,8.3,75.0
Baltata,1971,745.4,9.83,15.34,4.41,0.26,12,16.7,25.0,58.3
Baltata,1972,423.1,10.15,15.35,4.78,-0.16,12,33.3,25.0,41.7
Baltata,1973,336.4,9.32,14.84,3.87,-0.34,12,41.7,8.3,50.0
Baltata,1974,514.7,10.03,15.36,4.89,-0.1,12,16.7,0.0,83.3
Baltata,1975,376.1,9.69,15.1,4.47,-0.42,12,41.7,0.0,58.3
Baltata,1976,505.6,10.86,16.07,5.61,-0.17,12,16.7,16.7,66.7
Baltata,1977,468.0,10.21,15.46,4.86,-0.26,12,33.3,25.0,41.7
Baltata,1978,700.2,8.84,14.27,3.62,0.54,12,0.0,33.3,66.7
Baltata,1979,603.2,10.71,15.78,5.5,0.16,12,0.0,16.7,83.3
Baltata,1980,427.2,8.85,14.05,3.59,-0.28,12,25.0,0.0,75.0
Baltata,1981,410.6,9.66,14.78,4.32,-0.26,12,33.3,16.7,50.0
Baltata,1982,350.2,9.78,14.88,4.32,-0.4,12,41.7,25.0,33.3
Baltata,1983,615.4,10.88,16.09,5.52,-0.2,12,33.3,16.7,50.0
Baltata,1984,584.7,9.68,15.06,4.43,0.35,12,8.3,25.0,66.7
Baltata,1985,579.8,9.34,14.53,4.03,0.11,12,25.0,25.0,50.0
Baltata,1986,556.4,10.69,15.7,5.32,-0.09,12,33.3,8.3,58.3
Baltata,1987,534.3,10.76,15.92,5.42,-0.04,12,8.3,16.7,75.0
Baltata,1988,656.5,9.8,15.25,4.62,0.18,12,8.3,8.3,83.3
Baltata,1989,650.0,9.71,15.12,4.4,0.34,12,0.0,16.7,83.3
Baltata,1990,648.7,10.36,15.67,4.95,0.12,12,8.3,25.0,66.7
Baltata,1991,708.1,10.23,15.6,4.82,0.47,12,25.0,41.7,33.3
Baltata,1992,801.8,10.52,15.75,5.28,0.43,12,0.0,16.7,83.3
Baltata,1993,620.9,9.0,14.2,3.92,0.39,12,0.0,25.0,75.0
Baltata,1994,642.2,10.33,15.72,4.86,0.09,12,8.3,8.3,83.3
Baltata,1995,381.0,9.22,14.67,4.02,-0.26,12,33.3,16.7,50.0
Baltata,1996,700.9,9.41,14.91,4.32,0.36,12,0.0,8.3,91.7
Baltata,1997,530.2,9.5,14.81,4.27,0.14,12,16.7,16.7,66.7
Baltata,1998,505.2,10.93,15.87,5.31,-0.25,12,33.3,16.7,50.0
Baltata,1999,417.0,9.14,14.62,3.92,-0.21,12,16.7,8.3,75.0
Baltata,2000,712.3,10.39,15.6,4.91,0.33,12,0.0,16.7,83.3
Baltata,2001,407.4,10.62,15.81,5.16,-0.33,12,33.3,8.3,58.3
Baltata,2002,407.1,9.16,14.35,3.75,-0.42,12,33.3,8.3,58.3
