station,period,year_start,year_end,month,precip_monthly_mean,precip_monthly_std,t_med_mean,t_min_mean,t_max_mean,spei3_mean
Baltata,full,1961,2020,1,38.4,30.7,-3.22,-7.25,0.81,1.169
Baltata,full,1961,2020,2,27.3,19.2,-1.16,-5.16,2.8,1.166
Baltata,full,1961,2020,3,33.9,20.7,4.0,-1.06,9.0,0.951
Baltata,full,1961,2020,4,41.6,27.4,11.0,5.03,17.0,0.442
Baltata,full,1961,2020,5,56.5,37.9,15.87,9.85,21.91,-0.038
Baltata,full,1961,2020,6,68.6,46.0,19.53,13.61,25.6,-0.46
Baltata,full,1961,2020,7,66.8,39.5,21.86,15.81,27.93,-0.745
Baltata,full,1961,2020,8,53.6,38.2,20.82,14.83,26.82,-1.018
Baltata,full,1961,2020,9,41.7,23.9,15.99,9.94,22.06,-1.108
Baltata,full,1961,2020,10,34.0,19.2,10.01,4.94,15.04,-0.848
Baltata,full,1961,2020,11,45.4,32.0,4.02,-1.01,8.99,-0.102
Baltata,full,1961,2020,12,37.5,32.4,-0.91,-5.09,3.09,0.628
Baltata,p1,1961,1990,1,36.6,26.1,-3.07,-7.1,0.97,1.18
Baltata,p1,1961,1990,2,33.1,22.0,-1.01,-5.09,2.95,1.204
Baltata,p1,1961,1990,3,30.3,19.0,3.78,-1.32,8.86,0.967
Baltata,p1,1961,1990,4,38.4,22.4,10.94,5.0,16.9,0.448
Baltata,p1,1961,1990,5,46.8,25.7,15.96,9.94,21.99,-0.189
Baltata,p1,1961,1990,6,62.7,34.4,19.69,13.83,25.83,-0.653
Baltata,p1,1961,1990,7,64.2,32.4,22.36,16.11,28.34,-0.96
Baltata,p1,1961,1990,8,49.2,33.0,20.96,14.97,26.89,-1.183
Baltata,p1,1961,1990,9,45.1,27.1,16.04,10.12,22.19,-1.177
Baltata,p1,1961,1990,10,38.2,20.2,9.83,4.74,14.85,-0.816
Baltata,p1,1961,1990,11,50.4,34.1,4.05,-1.01,8.94,0.027
Baltata,p1,1961,1990,12,38.2,35.4,-0.76,-4.98,3.11,0.733
Baltata,p2,1991,2020,1,40.2,35.0,-3.37,-7.41,0.65,1.159
Baltata,p2,1991,2020,2,21.6,14.0,-1.32,-5.23,2.65,1.13
Baltata,p2,1991,2020,3,37.4,22.0,4.22,-0.8,9.13,0.935
Baltata,p2,1991,2020,4,44.7,31.8,11.07,5.06,17.09,0.435
Baltata,p2,1991,2020,5,66.2,45.5,15.78,9.77,21.84,0.114
Baltata,p2,1991,2020,6,74.5,55.2,19.37,13.4,25.37,-0.267
Baltata,p2,1991,2020,7,69.4,45.8,21.37,15.51,27.52,-0.53
Baltata,p2,1991,2020,8,58.0,42.8,20.68,14.69,26.76,-0.852
Baltata,p2,1991,2020,9,38.3,20.2,15.95,9.76,21.93,-1.039
Baltata,p2,1991,2020,10,29.8,17.5,10.2,5.14,15.23,-0.88
Baltata,p2,1991,2020,11,40.5,29.4,3.99,-1.01,9.04,-0.231
Baltata,p2,1991,2020,12,36.8,29.5,-1.06,-5.21,3.06,0.524
Balti,full,1961,2020,1,33.5,20.3,-3.3,-7.27,0.73,1.103
Balti,full,1961,2020,2,34.3,26.8,-1.17,-5.22,2.81,1.226
Balti,full,1961,2020,3,34.5,27.8,3.84,-1.09,8.86,1.047
Balti,full,1961,2020,4,37.6,26.7,10.97,4.97,16.96,0.54
Balti,full,1961,2020,5,40.0,22.9,16.1,10.24,22.1,-0.198
Balti,full,1961,2020,6,75.2,54.6,19.75,13.83,25.72,-0.587
Balti,full,1961,2020,7,66.6,37.5,21.77,15.86,27.83,-0.838
Balti,full,1961,2020,8,53.1,30.4,20.96,14.95,27.03,-0.951
Balti,full,1961,2020,9,41.4,30.4,15.88,9.98,21.89,-1.095
Balti,full,1961,2020,10,37.1,28.6,9.76,4.85,14.78,-0.789
Balti,full,1961,2020,11,41.0,29.2,4.05,-0.91,9.03,-0.064
Balti,full,1961,2020,12,33.4,22.3,-1.54,-5.5,2.57,0.644
Balti,p1,1961,1990,1,29.3,20.0,-3.14,-7.22,0.77,1.085
Balti,p1,1961,1990,2,34.7,23.5,-1.2,-5.28,2.67,1.211
Balti,p1,1961,1990,3,27.8,15.4,3.93,-1.09,8.9,0.943
Balti,p1,1961,1990,4,33.4,23.6,11.07,5.13,17.01,0.431
Balti,p1,1961,1990,5,37.6,22.0,16.11,10.24,22.12,-0.341
Balti,p1,1961,1990,6,80.2,63.9,19.79,13.82,25.68,-0.611
Balti,p1,1961,1990,7,66.6,42.2,21.78,15.85,27.89,-0.815
Balti,p1,1961,1990,8,54.0,31.3,21.1,15.06,27.18,-0.899
Balti,p1,1961,1990,9,43.8,34.0,15.95,10.06,22.03,-1.072
Balti,p1,1961,1990,10,38.9,28.9,9.79,4.9,14.74,-0.749
Balti,p1,1961,1990,11,41.6,26.6,3.92,-0.99,8.86,-0.014
Balti,p1,1961,1990,12,37.9,27.2,-1.1,-5.0,3.07,0.712
Balti,p2,1991,2020,1,37.7,20.0,-3.46,-7.32,0.69,1.12
Balti,p2,1991,2020,2,33.8,30.2,-1.14,-5.15,2.94,1.241
Balti,p2,1991,2020,3,41.2,35.2,3.76,-1.09,8.83,1.152
Balti,p2,1991,2020,4,41.8,29.3,10.87,4.82,16.91,0.649
Balti,p2,1991,2020,5,42.6,24.0,16.1,10.24,22.08,-0.054
Balti,p2,1991,2020,6,70.1,43.9,19.71,13.83,25.77,-0.564
Balti,p2,1991,2020,7,66.6,32.9,21.77,15.87,27.77,-0.862
Balti,p2,1991,2020,8,52.1,29.9,20.81,14.84,26.88,-1.002
Balti,p2,1991,2020,9,39.0,26.7,15.82,9.9,21.75,-1.118
Balti,p2,1991,2020,10,35.3,28.7,9.73,4.79,14.81,-0.829
Balti,p2,1991,2020,11,40.3,32.0,4.18,-0.82,9.2,-0.114
Balti,p2,1991,2020,12,28.9,15.2,-1.98,-5.99,2.06,0.576
Bravicea,full,1961,2020,1,40.5,36.8,-2.98,-6.95,1.01,1.035
Bravicea,full,1961,2020,2,30.7,20.8,-1.22,-5.32,2.79,1.145
Bravicea,full,1961,2020,3,33.2,25.6,3.9,-1.08,8.77,0.987
Bravicea,full,1961,2020,4,37.4,30.0,11.09,5.16,17.13,0.413
Bravicea,full,1961,2020,5,66.9,47.7,15.68,9.71,21.68,0.015
Bravicea,full,1961,2020,6,72.9,55.5,19.73,13.7,25.74,-0.371
Bravicea,full,1961,2020,7,63.1,46.1,21.56,15.63,27.58,-0.633
Bravicea,full,1961,2020,8,57.1,42.0,20.94,14.94,26.94,-0.986
Bravicea,full,1961,2020,9,44.8,25.0,16.08,10.09,21.98,-1.083
Bravicea,full,1961,2020,10,31.7,25.8,9.68,4.72,14.74,-0.809
Bravicea,full,1961,2020,11,38.4,21.4,3.93,-1.11,8.92,-0.159
Bravicea,full,1961,2020,12,31.6,26.2,-1.06,-5.09,3.04,0.483
Bravicea,p1,1961,1990,1,38.9,36.2,-2.97,-6.98,1.0,1.093
Bravicea,p1,1961,1990,2,29.8,23.1,-1.36,-5.52,2.73,1.17
Bravicea,p1,1961,1990,3,35.7,30.3,3.81,-1.25,8.79,0.997
Bravicea,p1,1961,1990,4,39.8,35.4,11.06,5.08,17.11,0.464
Bravicea,p1,1961,1990,5,59.0,46.5,15.81,9.95,21.83,-0.015
Bravicea,p1,1961,1990,6,73.3,56.1,19.57,13.61,25.56,-0.419
Bravicea,p1,1961,1990,7,66.7,50.8,21.91,15.99,27.97,-0.687
Bravicea,p1,1961,1990,8,48.5,21.8,21.13,15.02,27.22,-1.051
Bravicea,p1,1961,1990,9,41.4,26.4,16.22,10.19,22.19,-1.2
Bravicea,p1,1961,1990,10,33.4,29.1,9.97,5.05,14.99,-0.942
Bravicea,p1,1961,1990,11,40.5,22.0,3.91,-1.18,8.91,-0.176
Bravicea,p1,1961,1990,12,35.7,25.6,-0.99,-5.07,3.13,0.55
Bravicea,p2,1991,2020,1,42.2,38.0,-3.0,-6.93,1.02,0.979
Bravicea,p2,1991,2020,2,31.7,18.7,-1.09,-5.11,2.85,1.121
Bravicea,p2,1991,2020,3,30.7,20.0,4.0,-0.92,8.75,0.976
Bravicea,p2,1991,2020,4,35.0,23.8,11.12,5.23,17.15,0.362
Bravicea,p2,1991,2020,5,74.8,48.4,15.55,9.48,21.54,0.045
Bravicea,p2,1991,2020,6,72.6,55.8,19.88,13.78,25.91,-0.323
Bravicea,p2,1991,2020,7,59.4,41.4,21.2,15.27,27.2,-0.578
Bravicea,p2,1991,2020,8,65.8,54.4,20.76,14.86,26.66,-0.922
Bravicea,p2,1991,2020,9,48.3,23.4,15.93,9.98,21.78,-0.967
Bravicea,p2,1991,2020,10,30.0,22.4,9.39,4.4,14.48,-0.676
Bravicea,p2,1991,2020,11,36.2,20.9,3.94,-1.03,8.94,-0.142
Bravicea,p2,1991,2020,12,27.4,26.5,-1.13,-5.11,2.95,0.416
Briceni,full,1961,2020,1,33.6,24.5,-2.99,-6.91,0.95,1.082
Briceni,full,1961,2020,2,33.4,19.8,-1.32,-5.35,2.78,1.178
Briceni,full,1961,2020,3,36.5,26.0,3.96,-1.04,9.02,0.986
Briceni,full,1961,2020,4,39.6,28.3,11.28,5.32,17.33,0.486
Briceni,full,1961,2020,5,61.6,38.0,15.88,9.89,21.83,-0.01
Briceni,full,1961,2020,6,65.7,43.1,19.78,13.78,25.72,-0.506
Briceni,full,1961,2020,7,62.1,45.2,21.89,15.87,27.9,-0.81
Briceni,full,1961,2020,8,63.6,46.1,21.08,15.1,27.05,-1.048
Briceni,full,1961,2020,9,44.8,29.9,15.74,9.76,21.74,-1.055
Briceni,full,1961,2020,10,34.1,21.9,10.09,5.12,15.08,-0.747
Briceni,full,1961,2020,11,44.3,32.0,4.32,-0.6,9.18,-0.107
Briceni,full,1961,2020,12,37.1,24.8,-0.81,-4.83,3.26,0.586
Briceni,p1,1961,1990,1,30.5,26.1,-2.96,-6.82,1.01,1.049
Briceni,p1,1961,1990,2,32.5,17.9,-1.06,-5.13,2.99,1.149
Briceni,p1,1961,1990,3,32.4,19.7,4.16,-0.9,9.18,0.894
Briceni,p1,1961,1990,4,37.8,25.9,11.38,5.38,17.45,0.402
Briceni,p1,1961,1990,5,68.4,41.2,15.79,9.79,21.77,-0.012
Briceni,p1,1961,1990,6,73.2,43.1,19.69,13.66,25.65,-0.378
Briceni,p1,1961,1990,7,58.8,42.3,21.48,15.51,27.51,-0.672
Briceni,p1,1961,1990,8,73.5,55.8,21.28,15.35,27.24,-0.893
Briceni,p1,1961,1990,9,39.6,31.7,15.71,9.85,21.72,-1.029
Briceni,p1,1961,1990,10,34.6,22.0,9.78,4.89,14.73,-0.688
Briceni,p1,1961,1990,11,43.4,31.8,4.57,-0.29,9.39,-0.157
Briceni,p1,1961,1990,12,38.0,27.8,-0.81,-4.76,3.28,0.596
Briceni,p2,1991,2020,1,36.6,22.8,-3.01,-6.99,0.88,1.115
Briceni,p2,1991,2020,2,34.3,21.8,-1.58,-5.57,2.56,1.206
Briceni,p2,1991,2020,3,40.6,30.8,3.76,-1.18,8.87,1.079
Briceni,p2,1991,2020,4,41.4,30.9,11.19,5.25,17.21,0.571
Briceni,p2,1991,2020,5,54.9,33.9,15.98,9.99,21.9,-0.008
Briceni,p2,1991,2020,6,58.2,42.4,19.87,13.89,25.8,-0.634
Briceni,p2,1991,2020,7,65.5,48.3,22.3,16.24,28.29,-0.947
Briceni,p2,1991,2020,8,53.7,31.7,20.87,14.86,26.85,-1.202
Briceni,p2,1991,2020,9,50.0,27.6,15.77,9.67,21.77,-1.08
Briceni,p2,1991,2020,10,33.6,22.2,10.41,5.35,15.43,-0.806
Briceni,p2,1991,2020,11,45.1,32.6,4.07,-0.91,8.97,-0.056
Briceni,p2,1991,2020,12,36.1,21.8,-0.81,-4.91,3.23,0.576
Cahul,full,1961,2020,1,29.9,22.9,-1.17,-5.16,2.82,1.122
