station,year,month,precip,t_med,t_min,t_max,spei_1,spei_3,spei_6,spei_12,spei_24,month_sin,month_cos,t_med_anom,t_min_anom,t_max_anom,precip_anom,precip_lag1,precip_lag3,t_med_lag1,t_med_lag3,precip_roll3,drought_class,precip_lag6,precip_lag12,t_med_lag6,precip_roll6,precip_roll12,t_med_anom_roll3,station_lat,station_lon,aridity_idx,drought_class_7
Baltata,1961,1,36.3,-2.5,-6.9,1.2,0.954799,,,,,0.5,0.866025403784439,0.57,0.1967,0.2333,-0.3067,,,,,36.3,Normal,,,,,,0.57,47.055364,29.036234,4.84,Extremely Wet
Baltata,1961,2,51.7,-2.4,-6.1,1.4,1.30162,,,,,0.866025403784439,0.5,-1.39,-1.0067,-1.5533,18.6167,36.3,,-2.5,,44.0,Normal,,,,,,-0.41,47.055364,29.036234,6.802631578947369,Extremely Wet
Baltata,1961,3,17.6,4.6,-1.0,10.1,0.01568,0.995434,,,,1.0,0.0,0.82,0.32,1.24,-12.7,51.7,,-2.4,,35.199999999999996,Normal,,,,35.199999999999996,,0.0,47.055364,29.036234,1.2054794520547947,Normal
Baltata,1961,4,25.3,12.6,7.0,18.7,-0.711743,0.267554,,,,0.866025403784439,-0.5,1.66,2.0033,1.8,-13.1333,17.6,36.3,4.6,-2.5,31.533333333333335,Normal,,,,32.725,,0.3633333333333333,47.055364,29.036234,1.1194690265486724,Normal
Baltata,1961,5,22.7,13.6,7.8,20.1,-0.882901,-0.68656,,,,0.5,-0.866025403784439,-2.3567,-2.1367,-1.8867,-24.1167,25.3,51.7,12.6,-2.4,21.86666666666667,Normal,,,,30.72,,0.04109999999999984,47.055364,29.036234,0.9618644067796609,Normal
Baltata,1961,6,39.1,17.2,11.6,24.0,-0.918935,-1.094764,-0.070429,,,0.0,-1.0,-2.49,-2.2267,-1.83,-23.6433,22.7,17.6,13.6,4.6,29.03333333333333,Dry,,,,32.11666666666667,32.11666666666667,-1.0622333333333336,47.055364,29.036234,1.4375,Moderately Dry
Baltata,1961,7,59.6,21.2,16.2,28.4,-0.907674,-1.180339,-0.642835,,,-0.5,-0.866025403784439,-1.1567,0.0933,0.06,-4.6267,39.1,25.3,17.2,12.6,40.46666666666667,Dry,36.3,,-2.5,36.0,36.042857142857144,-2.001133333333333,47.055364,29.036234,1.9102564102564104,Moderately Dry
Baltata,1961,8,36.2,20.3,14.9,25.6,-1.333318,-1.377063,-1.452647,,,-0.866025403784438,-0.5,-0.6567,-0.0667,-1.29,-12.9633,59.6,22.7,21.2,13.6,44.96666666666667,Dry,51.7,,-2.4,33.416666666666664,36.0625,-1.4344666666666666,47.055364,29.036234,1.1947194719471947,Moderately Dry
Baltata,1961,9,19.7,15.7,9.6,21.4,-1.186933,-1.494115,-1.822254,,,-1.0,-0.0,-0.3367,-0.5167,-0.79,-25.4333,36.2,39.1,20.3,17.2,38.50000000000001,Dry,17.6,,4.6,33.76666666666667,34.24444444444444,-0.7167,47.055364,29.036234,0.7665369649805447,Moderately Dry
Baltata,1961,10,38.3,8.6,3.5,13.5,0.031445,-1.083944,-1.593845,,,-0.866025403784439,0.5,-1.2267,-1.2367,-1.3467,0.0967,19.7,59.6,15.7,21.2,31.4,Dry,25.3,,12.6,35.93333333333333,34.65,-0.7400333333333332,47.055364,29.036234,2.059139784946236,Moderately Dry
Baltata,1961,11,17.9,4.8,-0.4,9.4,-8.4e-05,-0.501639,-1.322523,,,-0.5,0.866025403784438,0.7533,0.61,0.4567,-32.48,38.3,36.2,8.6,20.3,25.3,Normal,22.7,,13.6,35.13333333333333,33.127272727272725,-0.2700333333333333,47.055364,29.036234,1.2094594594594592,Normal
Baltata,1961,12,20.4,0.5,-3.5,3.9,0.540416,0.252799,-0.874012,-1.115879,,-0.0,1.0,1.2633,1.4767,0.7867,-17.7867,17.9,19.7,4.8,15.7,25.53333333333333,Normal,39.1,,17.2,32.01666666666666,32.06666666666667,0.2633000000000001,47.055364,29.036234,1.9428571428571426,Normal
