station,lat,lon,period,year_start,year_end,precip_annual_mean,precip_annual_std,precip_annual_min,precip_annual_max,t_med_mean,t_min_mean,t_max_mean,t_slope_per_decade,n_months,pct_extremely_dry,pct_severely_dry,pct_moderately_dry,pct_normal,pct_moderately_wet,pct_severely_wet,pct_extremely_wet,pct_any_dry,dominant_nonnormal
Baltata,47.055364,29.036234,full,1961,2020,545.3,118.1,336.4,801.8,9.82,4.54,15.09,-0.046,718,1.1,6.1,11.7,65.9,10.3,2.9,1.9,18.9,Moderately Dry
Baltata,47.055364,29.036234,p1,1961,1990,533.3,119.9,336.4,764.0,9.9,4.6,15.15,0.098,358,1.7,6.4,13.7,62.3,10.6,3.1,2.2,21.8,Moderately Dry
Baltata,47.055364,29.036234,p2,1991,2020,557.3,117.0,376.2,801.8,9.74,4.47,15.02,-0.152,360,0.6,5.8,9.7,69.4,10.0,2.8,1.7,16.1,Moderately Wet
Balti,47.766735,27.887407,full,1961,2020,527.6,99.5,310.9,841.9,9.76,4.56,15.03,-0.032,718,0.7,5.2,12.5,63.4,12.0,4.5,1.8,18.4,Moderately Dry
Balti,47.766735,27.887407,p1,1961,1990,525.9,93.0,349.5,841.9,9.83,4.62,15.08,0.091,358,0.8,5.9,12.6,63.1,12.3,3.9,1.4,19.3,Moderately Dry
Balti,47.766735,27.887407,p2,1991,2020,529.4,107.2,310.9,778.4,9.68,4.49,14.97,-0.039,360,0.6,4.4,12.5,63.6,11.7,5.0,2.2,17.5,Moderately Dry
Bravicea,47.372135,28.438405,full,1961,2020,548.3,136.1,306.4,984.2,9.78,4.53,15.03,-0.088,718,1.0,7.0,11.7,63.1,12.4,2.9,1.9,19.7,Moderately Wet
Bravicea,47.372135,28.438405,p1,1961,1990,542.7,147.5,347.8,984.2,9.84,4.57,15.12,-0.126,358,1.1,7.3,14.2,59.2,12.3,3.6,2.2,22.6,Moderately Dry
Bravicea,47.372135,28.438405,p2,1991,2020,554.0,125.9,306.4,797.5,9.71,4.49,14.94,-0.321,360,0.8,6.7,9.2,66.9,12.5,2.2,1.7,16.7,Moderately Wet
Briceni,48.352057,27.102111,full,1961,2020,556.4,129.5,315.0,931.6,9.91,4.68,15.15,0.013,718,2.2,5.8,9.6,64.3,13.1,3.6,1.3,17.6,Moderately Wet
Briceni,48.352057,27.102111,p1,1961,1990,562.7,130.0,315.0,931.6,9.92,4.71,15.16,0.018,358,1.7,5.6,8.4,68.4,12.0,2.5,1.4,15.7,Moderately Wet
Briceni,48.352057,27.102111,p2,1991,2020,550.0,130.9,330.5,812.8,9.9,4.64,15.15,0.118,360,2.8,6.1,10.8,60.3,14.2,4.7,1.1,19.7,Moderately Wet
Cahul,45.899149,28.213516,full,1961,2020,479.5,93.5,259.6,672.7,11.53,6.3,16.82,0.001,718,0.8,6.3,12.0,63.6,12.3,4.2,0.8,19.1,Moderately Wet
Cahul,45.899149,28.213516,p1,1961,1990,477.1,94.7,259.6,665.6,11.56,6.33,16.84,0.196,358,0.6,5.6,14.0,64.8,10.9,3.4,0.8,20.2,Moderately Dry
Cahul,45.899149,28.213516,p2,1991,2020,482.0,93.8,321.8,672.7,11.49,6.26,16.8,-0.054,360,1.1,6.9,10.0,62.5,13.6,5.0,0.8,18.0,Moderately Wet
Camenca,48.049768,28.686427,full,1961,2020,544.7,108.2,304.0,759.9,9.85,4.64,15.11,-0.002,718,1.5,7.1,10.9,63.5,11.7,5.0,0.3,19.5,Moderately Wet
Camenca,48.049768,28.686427,p1,1961,1990,537.8,124.8,304.0,739.0,9.85,4.65,15.1,0.011,358,2.5,6.7,11.5,62.8,11.7,4.2,0.6,20.7,Moderately Wet
Camenca,48.049768,28.686427,p2,1991,2020,551.6,90.2,312.8,759.9,9.84,4.63,15.12,0.001,360,0.6,7.5,10.3,64.2,11.7,5.8,0.0,18.4,Moderately Wet
Ceadir-Lunga,46.07137,28.824953,full,1961,2020,489.4,110.6,322.2,767.7,11.56,6.28,16.77,-0.017,718,1.5,6.1,12.4,61.7,13.1,4.2,1.0,20.0,Moderately Wet
Ceadir-Lunga,46.07137,28.824953,p1,1961,1990,508.5,109.9,322.2,741.0,11.54,6.28,16.78,0.016,358,1.4,6.7,11.7,60.3,14.2,3.9,1.7,19.8,Moderately Wet
Ceadir-Lunga,46.07137,28.824953,p2,1991,2020,470.3,109.7,332.6,767.7,11.58,6.28,16.77,-0.229,360,1.7,5.6,13.1,63.1,11.9,4.4,0.3,20.4,Moderately Dry
Chisinau,46.971568,28.848373,full,1961,2020,526.2,119.6,354.2,1066.6,10.01,4.74,15.28,-0.048,718,0.8,6.5,11.7,63.8,12.1,4.2,0.8,19.0,Moderately Wet
Chisinau,46.971568,28.848373,p1,1961,1990,523.4,126.3,386.5,1066.6,10.06,4.78,15.32,-0.138,358,0.8,6.4,13.1,64.5,12.0,2.0,1.1,20.3,Moderately Dry
Chisinau,46.971568,28.848373,p2,1991,2020,528.9,114.5,354.2,847.3,9.97,4.7,15.23,-0.062,360,0.8,6.7,10.3,63.1,12.2,6.4,0.6,17.8,Moderately Wet
Comrat,46.302793,28.629546,full,1961,2020,491.5,100.0,242.9,726.9,11.38,6.15,16.62,0.008,718,1.1,4.5,13.8,63.8,11.8,3.2,1.8,19.4,Moderately Dry
Comrat,46.302793,28.629546,p1,1961,1990,483.1,111.2,242.9,726.9,11.38,6.18,16.62,-0.062,358,1.1,5.3,14.2,64.0,10.1,3.1,2.2,20.6,Moderately Dry
Comrat,46.302793,28.629546,p2,1991,2020,500.0,88.4,293.4,698.9,11.37,6.11,16.61,0.145,360,1.1,3.6,13.3,63.6,13.6,3.3,1.4,18.0,Moderately Wet
Cornesti,47.367089,27.994043,full,1961,2020,513.3,117.4,287.2,879.3,9.82,4.59,15.05,-0.007,718,1.0,6.1,12.3,62.4,13.1,4.2,1.0,19.4,Moderately Wet
Cornesti,47.367089,27.994043,p1,1961,1990,519.6,136.5,287.2,879.3,9.8,4.56,15.05,-0.059,358,1.1,6.4,10.9,63.7,12.8,3.9,1.1,18.4,Moderately Wet
Cornesti,47.367089,27.994043,p2,1991,2020,507.1,96.6,355.1,746.4,9.83,4.62,15.05,-0.068,360,0.8,5.8,13.6,61.1,13.3,4.4,0.8,20.2,Moderately Dry
Dubasari,47.280522,29.129234,full,1961,2020,562.7,131.5,338.5,952.9,10.0,4.76,15.22,-0.04,718,1.3,5.7,11.4,64.1,12.0,4.3,1.3,18.4,Moderately Wet
Dubasari,47.280522,29.129234,p1,1961,1990,551.4,113.2,388.2,897.0,10.05,4.79,15.24,0.082,358,2.2,5.6,10.6,65.1,10.9,4.7,0.8,18.4,Moderately Wet
Dubasari,47.280522,29.129234,p2,1991,2020,573.9,148.7,338.5,952.9,9.96,4.73,15.19,-0.235,360,0.3,5.8,12.2,63.1,13.1,3.9,1.7,18.3,Moderately Wet
Falesti,47.583338,27.704996,full,1961,2020,547.5,114.3,374.6,938.3,9.79,4.53,15.04,-0.033,718,1.8,4.9,10.9,64.3,13.1,4.3,0.7,17.6,Moderately Wet
